ID,日付,ステータス,分類,課題・検討事項,対応方針,備考
1,2026/03/04,完了,エッジ,クラウド側での処理をシンプルにするためエッジ側では時刻を持たずAWS送信時の受信時刻をタイムスタンプとする方向が望ましい,エッジ側からは「開始」「終了」のみを送る。日時は受信したクラウド側とする,
2,2026/03/04,完了,エッジ,ESP32は軽量なWebサーバを動かせるためブラウザからWiFi等設定を行う手法が標準的かつ効果的。OSS化の観点で直書きを避ける,ESP32がブラウザアクセスを受けるリソースとパフォーマンスがあるならブラウザ設定が良い,
3,2026/03/04,完了,クラウド,API Gateway+Lambda構成とし、AWS IoT Coreは証明書管理などの複雑さを伴うためまずはHTTPリクエストで受信する,HTTPリクエストがESP32の負担にならないならば、HTTP での実装でOK,
4,2026/03/04,完了,クラウド,安価で運用が容易な DynamoDB のオンデマンドまたはプロビジョニングモード(無料枠内)を使用する,今回は永続化するデータは、シンブルなデータ構造だと思うのでDynamoでOK,
5,2026/03/04,完了,フロントエンド,S3静的ホスティング+CloudFrontのSPA構成で無料枠に収める,OK,
6,2026/03/04,完了,セキュリティ,API GatewayのAPIキーを利用してエッジ側からのリクエストを簡易認証する,APIキーでの簡易実装で十分なのでOK,
7,2026/03/04,完了,セキュリティ,Cognitoを避けCloudFront Functionsを使ったBasic認証などで手軽に保護するアプローチから始める,BASIC認証でOK。ただし、パスワード変更やID/pw追加などができる簡易なシェルスクリプトがほしい。,
8,2026/03/04,完了,全体,API_GW+Lambda+DynamoDB+S3+CFの構成は個人利用レベルであればほぼ100%無料枠に収まる,このアーキテクチャでOK,
9,2026/03/04,完了,エッジ,タイムアウト到達時の動作仕様（LED点滅・ブザー以外にクラウドへ自動で終了イベントを送信するかどうか等）,青点滅はユーザーへのお知らせの意味。ユーザーの動作でスイッチ押下で終了イベントを送ること,
10,2026/03/04,完了,エッジ,Wi-Fi未接続やAWS送信エラー発生時のエラーハンドリング（OLEDへのエラー表示や再実行・リトライの要否）,OLEDへのエラー表示をする,
11,2026/03/04,完了,フロントエンド,Webアプリの「統計表示」の具体的な項目定義（日次/週次の稼働時間集計など、どんな項目を見たいか）,週次、月次の稼働状況がみたい,
